"date","r_star_estimate","r_star_p025","r_star_p16","r_star_median","r_star_p84","r_star_p975","pi_star_estimate","pi_star_p025","pi_star_p16","pi_star_median","pi_star_p84","pi_star_p975","w_estimate","w_p025","w_p16","w_median","w_p84","w_p975"
2017-03-01,-0.71638072812718,-3.32331343886646,-1.52408499409555,-0.808318178616682,-0.182455637609304,1.02368103885417,2.2485142288603,1.65476223186606,2.0602782821421,2.26644063649411,2.49179528943262,2.93601881324034,-0.653401723745529,-1.69999852402877,-1.10425595519993,-0.618928062512118,-0.101007045585435,0.839741207311821
2017-04-01,-0.904375442708972,-3.47552719858781,-1.7187734119423,-0.982099819652889,-0.347098097977096,0.909987190911975,2.17143213864038,1.51843297401576,1.96005604545539,2.17216318301889,2.40025346351279,2.82206858009951,-0.753729259284529,-1.97642470457016,-1.21185030747441,-0.722784881943368,-0.157765240161196,0.883615577940178
2017-05-01,-0.899617237414444,-3.47357707361089,-1.7561988106901,-0.980629104515533,-0.360911377249404,0.932025073409025,2.10867315972582,1.62025585286959,1.94472360190379,2.11179503972461,2.29234881381002,2.61649974521654,-0.713509601915624,-1.90291363958286,-1.17696622216338,-0.670159721913154,-0.107816083902571,0.930377046641751
2017-06-01,-1.05873945475059,-3.83328157799962,-1.90247643691483,-1.14535572559546,-0.496598037054847,0.677995096491937,1.96132369044579,1.32584761979535,1.74758577406915,1.96034956164832,2.18292628990509,2.62202389452588,-0.543537898254148,-1.75231636349784,-0.966654914564632,-0.49689414007082,0.0763176715921015,1.18745106747884
2017-07-01,-0.894332020392137,-3.49608871064434,-1.75416430140414,-0.968686612980063,-0.348571410377947,0.859150250087353,1.94096190591205,1.28853279975416,1.7289893283452,1.94104269105986,2.17194267361928,2.62727564113894,-0.589246898985192,-1.78258666305465,-1.02254497628813,-0.542429368704942,0.0596226318580659,1.12990401107173
2017-08-01,-1.02550911383008,-3.63665148959102,-1.86177336188858,-1.11062129647079,-0.468659462024514,0.771419770416958,1.99172708143434,1.51666363348078,1.8200106459082,1.99141504769911,2.15851139310753,2.49103312458088,-0.645062494673026,-1.81104864352126,-1.06874170338024,-0.563672659987514,0.0124068223904037,1.05172530417378
2017-09-01,-1.15122588331538,-3.8213248780085,-1.95835896468112,-1.2215526649336,-0.605015128792884,0.59810806338461,2.00933818811518,1.39235914474464,1.79941754876176,2.0060194114689,2.23927211912386,2.655308982291,-0.47375135795055,-1.64916100398087,-0.929742474214798,-0.425131427163398,0.126880225877534,1.23057037240303
2017-10-01,-1.06913467294396,-3.79108477107247,-1.89143796896287,-1.14982347238946,-0.502936434656183,0.642987858951521,1.99246838922628,1.37944329339245,1.78011337173771,2.00050594918902,2.23850935416462,2.71693570429247,-0.186734028313762,-1.42658605115395,-0.649148348666957,-0.148651691499434,0.403854856229545,1.46785869971779
2017-11-01,-1.15513399742222,-3.90822921249045,-2.00188919114946,-1.2440800371108,-0.609260780538584,0.631155746979664,1.99291205922901,1.53588307464222,1.83267327366513,2.0085373618888,2.17851462736893,2.56350224368358,-0.0264357054713708,-1.16616232294198,-0.449471456868485,0.0233501572717329,0.566975592773768,1.65789077183949
2017-12-01,-1.22362196919338,-3.95476742547336,-2.08499286962908,-1.33705682959513,-0.700425391702691,0.52685803042414,1.94964127696717,1.36370394212299,1.7695465413277,1.97283998828904,2.20395663638764,2.68401156561409,0.305878888012981,-0.858069378504073,-0.121823996120567,0.360019999651165,0.940404063485159,1.8563390556401
2018-01-01,-1.1934785064239,-3.87973840142803,-2.08008461124193,-1.27928738245193,-0.69173133111002,0.536501937719839,2.05891789405372,1.51835206600453,1.8875430408838,2.08876961333155,2.34801527737252,2.84704187006104,0.492533456077739,-0.671440575040788,0.068162886677334,0.525869070431896,1.06730167313856,2.0889644318479
2018-02-01,-0.84819413401735,-3.33060769033073,-1.63428614457406,-0.939766931516812,-0.401010852976848,0.599192544231427,2.1485497275941,1.74801828068544,2.03003906981778,2.17596389155365,2.35241379378678,2.75662734563408,0.320776123638756,-0.484482208447389,0.0139971376370153,0.335460332145429,0.801136830200821,1.54068155609227
2018-03-01,-0.922185516090712,-3.55440937343366,-1.77079551771413,-1.03424474860631,-0.444159208300514,0.650026452271304,2.16638884731997,1.60099789474256,1.98659696352526,2.20181542411838,2.43750753191061,2.97255642588324,0.372174581165552,-0.666889950847228,-0.0279118433391622,0.401831998046159,0.91125938103296,1.9021410754183
2018-04-01,-0.986487429212511,-3.72845153251394,-1.84146680068511,-1.10029636577496,-0.491425946254171,0.780392790881725,2.13347242085344,1.51754753945739,1.96890840230994,2.17955975121737,2.43179196451415,3.03875198189052,0.5741903309061,-0.570242461288798,0.142180608394555,0.611543024586241,1.13572235012137,2.20509505534517
2018-05-01,-0.906024788028326,-3.6938091629127,-1.78632115429602,-1.00790224666144,-0.379067080673438,0.827850556229248,2.14129050508396,1.72560055450212,2.01191456213126,2.18053833349776,2.36220225167837,2.7662046811184,0.629403426281663,-0.498641446499922,0.192633227285212,0.667233408262663,1.20932476415103,2.3132198921039
2018-06-01,-1.00260519273512,-3.77119301505178,-1.92395191596112,-1.12059279633196,-0.524960925471911,0.6495709518743,2.08906475656999,1.56112465711737,1.92437747439103,2.13139596722235,2.37577200719704,2.89859931154736,0.742964475896837,-0.495518279746252,0.301932379734929,0.787163366974751,1.34500202791421,2.44386453605504
2018-07-01,-1.09905982523923,-3.75201533593499,-2.01474815728686,-1.20779629934441,-0.601435570463317,0.596892542078936,2.044390693976,1.43781168574367,1.87973686330345,2.09320906674696,2.35805968353625,2.93469861069502,0.908769718552152,-0.286921823865048,0.491354710487171,0.945248641389977,1.4925262235305,2.51123228860981
2018-08-01,-1.11274032843933,-3.84967087284102,-2.00422134945161,-1.23239091644053,-0.649045049400274,0.535168744199715,2.04524254222836,1.63828839432902,1.91498320570216,2.07558231282605,2.26620277138982,2.70452394676883,0.874917920976691,-0.234683265792052,0.481744301079683,0.94168533346232,1.46464587338511,2.54887997697305
2018-09-01,-1.03429257794047,-3.79293585524394,-1.94042942069692,-1.14838961855336,-0.538901405250081,0.534575689165054,2.01785592346561,1.44035417831955,1.85733485024642,2.06406963981769,2.31566759627811,2.86893172534762,0.984286323581176,-0.183756828220721,0.551593602547813,1.03400965667013,1.59126858220377,2.59984437320828
2018-10-01,-0.821744605088193,-3.60594208278645,-1.77672389811626,-0.950310947559781,-0.331501792901832,0.773042771151254,1.98530420608171,1.41850444234355,1.82478071040526,2.03460444994706,2.31340494913249,2.8940995820932,0.879742393505264,-0.306135542616509,0.467548269389898,0.934060068610131,1.4850014612423,2.52572659961037
