"real_level","target_level","cycle_level","state_id","shadow_rate","region","eta","maturity_months","maturity","security","approximation","monte_carlo","error_bp","mc_se_bp","npaths"
0,-1,0,11,1,"Near the bound",0.5,24,"2y","Real",0.205627641628292,0.207407754544632,-0.178011291634,0.0201270660079908,2000000
1,-1,0,12,2.25,"Above the bound",0.5,24,"2y","Real",1.113051799369,1.11390747455426,-0.0855675185258642,0.0113545293641035,2000000
-1,0,0,13,0.75,"Near the bound",0.5,24,"2y","Real",-0.822744034133541,-0.82085549436318,-0.188853977036096,0.020876765900142,2000000
0,0,0,14,2,"Above the bound",0.5,24,"2y","Real",0.068100572046792,0.0690292743319669,-0.0928702285174873,0.0119511291855393,2000000
1,0,0,15,3.25,"Above the bound",0.5,24,"2y","Real",1.07030493804793,1.07061864429997,-0.0313706252039303,0.00552237743487806,2000000
-1,1,0,16,1.75,"Above the bound",0.5,24,"2y","Real",-0.975595461958375,-0.974586770075188,-0.100869188318664,0.0126008395771497,2000000
0,1,0,17,3,"Above the bound",0.5,24,"2y","Real",0.0205081015491969,0.0208545691999457,-0.0346467650748802,0.00583316601165684,2000000
1,1,0,18,4.25,"Above the bound",0.5,24,"2y","Real",1.06075557264199,1.0608375340809,-0.00819614389133694,0.00233693086167343,2000000
-1,-1,1,19,1.25,"Above the bound",0.5,24,"2y","Real",-0.37384563899684,-0.3716474940871,-0.219814490973985,0.0241742568004134,2000000
0,-1,1,20,2.5,"Above the bound",0.5,24,"2y","Real",0.4459589586319,0.447302064827161,-0.13431061952604,0.0166182575584124,2000000
1,-1,1,21,3.75,"Above the bound",0.5,24,"2y","Real",1.40662882809782,1.40721445595788,-0.0585627860061999,0.00895697683148582,2000000
-1,0,1,22,2.25,"Above the bound",0.5,24,"2y","Real",-0.594361565378917,-0.592937964239098,-0.142360113981943,0.0172782703023625,2000000
0,0,1,23,3.5,"Above the bound",0.5,24,"2y","Real",0.35829615567936,0.358927883990903,-0.0631728311543622,0.00935912556444247,2000000
1,0,1,24,4.75,"Above the bound",0.5,24,"2y","Real",1.38012937098688,1.38033239606165,-0.020302507476333,0.00427024217809122,2000000
-1,1,1,25,3.25,"Above the bound",0.5,24,"2y","Real",-0.689533109288614,-0.688850013494031,-0.0683095794582922,0.0097979877320753,2000000
0,1,1,26,4.5,"Above the bound",0.5,24,"2y","Real",0.329401841066539,0.329622189884063,-0.0220348817524751,0.00446477092690119,2000000
1,1,1,27,5.75,"Above the bound",0.5,24,"2y","Real",1.37555042555059,1.37560204967381,-0.00516241232135783,0.00179541339603183,2000000
-1,-1,-1,1,-1.75,"Below the bound",0.5,60,"5y","Nominal",0.765494714548002,0.7727268936516,-0.72321791035983,0.0253947813119337,2000000
0,-1,-1,2,-0.5,"Below the bound",0.5,60,"5y","Nominal",1.21676184438271,1.22258841118438,-0.582656680167126,0.0219711741282689,2000000
1,-1,-1,3,0.75,"Near the bound",0.5,60,"5y","Nominal",1.8386205941026,1.84228576963176,-0.366517552916856,0.0159527908331393,2000000
-1,0,-1,4,-0.75,"Below the bound",0.5,60,"5y","Nominal",1.25624622365961,1.26217208824651,-0.592586458690603,0.0213299825762105,2000000
0,0,-1,5,0.5,"Near the bound",0.5,60,"5y","Nominal",1.86909849111752,1.87277981297146,-0.368132185394288,0.0153138709002562,2000000
1,0,-1,6,1.75,"Above the bound",0.5,60,"5y","Nominal",2.60874277096033,2.61061595315767,-0.187318219733434,0.00969237061570338,2000000
-1,1,-1,7,0.25,"Near the bound",0.5,60,"5y","Nominal",1.90280205674878,1.90650938946499,-0.370733271621448,0.0147296138397848,2000000
0,1,-1,8,1.5,"Above the bound",0.5,60,"5y","Nominal",2.64117362620238,2.64300009136459,-0.182646516220641,0.00908017055450722,2000000
1,1,-1,9,2.75,"Above the bound",0.5,60,"5y","Nominal",3.43541879221889,3.43621341255706,-0.0794620338167906,0.00528434356335458,2000000
-1,-1,0,10,-0.25,"Below the bound",0.5,60,"5y","Nominal",0.847609598690209,0.854400395651692,-0.679079696148321,0.0254644528089621,2000000
0,-1,0,11,1,"Near the bound",0.5,60,"5y","Nominal",1.38631559234583,1.3914115371267,-0.509594478087161,0.0210675429162237,2000000
1,-1,0,12,2.25,"Above the bound",0.5,60,"5y","Nominal",2.06532466210716,2.06848656720138,-0.316190509421599,0.0150786429033666,2000000
-1,0,0,13,0.75,"Near the bound",0.5,60,"5y","Nominal",1.41186391544567,1.41704104436044,-0.517712891476663,0.0204727417174625,2000000
0,0,0,14,2,"Above the bound",0.5,60,"5y","Nominal",2.09191499342001,2.09503836783925,-0.312337441924404,0.014345039659856,2000000
1,0,0,15,3.25,"Above the bound",0.5,60,"5y","Nominal",2.85141937801524,2.85305091300602,-0.163153499078206,0.00919961472298933,2000000
-1,1,0,16,1.75,"Above the bound",0.5,60,"5y","Nominal",2.12071579999015,2.12380695012818,-0.309115013803307,0.013663440798798,2000000
0,1,0,17,3,"Above the bound",0.5,60,"5y","Nominal",2.88285324868452,2.88440842524174,-0.155517655721749,0.00852118089968973,2000000
1,1,0,18,4.25,"Above the bound",0.5,60,"5y","Nominal",3.6831706655647,3.68387938533893,-0.0708719774230815,0.00506717471028816,2000000
-1,-1,1,19,1.25,"Above the bound",0.5,60,"5y","Nominal",1.00225294367383,1.00845247367678,-0.619953000294649,0.0250124358918692,2000000
0,-1,1,20,2.5,"Above the bound",0.5,60,"5y","Nominal",1.59999541670085,1.60452806422608,-0.45326475252232,0.020159781048372,2000000
1,-1,1,21,3.75,"Above the bound",0.5,60,"5y","Nominal",2.30271289708357,2.30554529044057,-0.283239335699781,0.0144493521804286,2000000
-1,0,1,22,2.25,"Above the bound",0.5,60,"5y","Nominal",1.6210114739263,1.62557344576799,-0.456197184169382,0.0195042169369402,2000000
0,0,1,23,3.5,"Above the bound",0.5,60,"5y","Nominal",2.32813188183952,2.33089376029733,-0.276187845780917,0.0136531013831876,2000000
1,0,1,24,4.75,"Above the bound",0.5,60,"5y","Nominal",3.09698106225483,3.09845985962508,-0.147879737024725,0.00885154575561337,2000000
-1,1,1,25,3.25,"Above the bound",0.5,60,"5y","Nominal",2.35544840783444,2.3581426421986,-0.269423436416405,0.0128984753174921,2000000
0,1,1,26,4.5,"Above the bound",0.5,60,"5y","Nominal",3.12814953181831,3.12953855499437,-0.138902317605805,0.00814167474671749,2000000
1,1,1,27,5.75,"Above the bound",0.5,60,"5y","Nominal",3.93157546357032,3.93222824416609,-0.0652780595773006,0.00490700929958504,2000000
-1,-1,-1,1,-1.75,"Below the bound",0.5,60,"5y","Real",-0.255884422173321,-0.249373699486906,-0.651072268641498,0.0240712893953099,2000000
0,-1,-1,2,-0.5,"Below the bound",0.5,60,"5y","Real",0.198471914275502,0.203928907077921,-0.545699280241899,0.0210002282954344,2000000
1,-1,-1,3,0.75,"Near the bound",0.5,60,"5y","Real",0.822825638395732,0.826451996124249,-0.362635772851683,0.0152835070813614,2000000
-1,0,-1,4,-0.75,"Below the bound",0.5,60,"5y","Real",-0.623134519979869,-0.61772118061863,-0.5413339361239,0.0203820976820068,2000000
0,0,-1,5,0.5,"Near the bound",0.5,60,"5y","Real",-0.00786561636325117,-0.00432675686002924,-0.353885950322193,0.0146703296684177,2000000
1,0,-1,6,1.75,"Above the bound",0.5,60,"5y","Real",0.733363670382704,0.73527515705614,-0.191148667343544,0.00927891229983292,2000000
-1,1,-1,7,0.25,"Near the bound",0.5,60,"5y","Real",-0.835363742868833,-0.831899862091746,-0.346388077708748,0.0141098545342865,2000000
0,1,-1,8,1.5,"Above the bound",0.5,60,"5y","Real",-0.0954803024429718,-0.0936701926490145,-0.181010979395732,0.00868974532610757,2000000
1,1,-1,9,2.75,"Above the bound",0.5,60,"5y","Real",0.699588895174064,0.700425612855464,-0.083671768140059,0.00504884749939817,2000000
-1,-1,0,10,-0.25,"Below the bound",0.5,60,"5y","Real",-0.285647455118672,-0.279306220841488,-0.634123427718464,0.02422286967104,2000000
0,-1,0,11,1,"Near the bound",0.5,60,"5y","Real",0.256105942199149,0.261107899863253,-0.50019576641045,0.0201605214106397,2000000
1,-1,0,12,2.25,"Above the bound",0.5,60,"5y","Real",0.937456565651564,0.940718314093348,-0.326174844178428,0.0144480514722548,2000000
-1,0,0,13,0.75,"Near the bound",0.5,60,"5y","Real",-0.579429643815335,-0.574477571087949,-0.495207272738585,0.0195935108980489,2000000
0,0,0,14,2,"Above the bound",0.5,60,"5y","Real",0.102889221859903,0.106028391349853,-0.313916948994951,0.0137426312172914,2000000
1,0,0,15,3.25,"Above the bound",0.5,60,"5y","Real",0.863845758501901,0.865568400448464,-0.172264194656357,0.0088077847426077,2000000
-1,1,0,16,1.75,"Above the bound",0.5,60,"5y","Real",-0.72949952137844,-0.726472247276509,-0.302727410193104,0.0130875284340036,2000000
0,1,0,17,3,"Above the bound",0.5,60,"5y","Real",0.034010231839651,0.0356107143095308,-0.160048246987982,0.00815379862202887,2000000
1,1,0,18,4.25,"Above the bound",0.5,60,"5y","Real",0.835080873066051,0.835847299415502,-0.0766426349450344,0.00484190269720877,2000000
-1,-1,1,19,1.25,"Above the bound",0.5,60,"5y","Real",-0.242875391873433,-0.236831358082147,-0.604403379128568,0.0238413353445301,2000000
0,-1,1,20,2.5,"Above the bound",0.5,60,"5y","Real",0.357799771209803,0.362417720454778,-0.461794924497433,0.0193000951771713,2000000
1,-1,1,21,3.75,"Above the bound",0.5,60,"5y","Real",1.06271571473161,1.0657232321213,-0.300751738968708,0.013848046386028,2000000
-1,0,1,22,2.25,"Above the bound",0.5,60,"5y","Real",-0.482256401722592,-0.477720897444316,-0.453550427827631,0.0186749347314832,2000000
0,0,1,23,3.5,"Above the bound",0.5,60,"5y","Real",0.226983584902447,0.229846182098807,-0.286259719635962,0.0130815213252222,2000000
1,0,1,24,4.75,"Above the bound",0.5,60,"5y","Real",0.997185827061443,0.998783872487244,-0.159804542580033,0.00847602839966704,2000000
-1,1,1,25,3.25,"Above the bound",0.5,60,"5y","Real",-0.606881884834503,-0.604155427750019,-0.272645708448405,0.0123550713093634,2000000
0,1,1,26,4.5,"Above the bound",0.5,60,"5y","Real",0.167086701766073,0.168552794384688,-0.146609261861486,0.00779140341450202,2000000
1,1,1,27,5.75,"Above the bound",0.5,60,"5y","Real",0.971216395615006,0.971935452943085,-0.0719057328078865,0.00468963521318309,2000000
-1,-1,-1,1,-1.75,"Below the bound",0.5,120,"10y","Nominal",1.07173713773342,1.0851323475841,-1.33952098506742,0.0245566401304345,2000000
0,-1,-1,2,-0.5,"Below the bound",0.5,120,"10y","Nominal",1.41442065314422,1.42531225739102,-1.08916042467995,0.0216146846072158,2000000
1,-1,-1,3,0.75,"Near the bound",0.5,120,"10y","Nominal",1.85202209015816,1.86002533027942,-0.800324012125575,0.0178681914214188,2000000
-1,0,-1,4,-0.75,"Below the bound",0.5,120,"10y","Nominal",1.54989537509747,1.5603319557563,-1.04365806588365,0.0199669488732571,2000000
0,0,-1,5,0.5,"Near the bound",0.5,120,"10y","Nominal",1.99015459365738,1.99757119368499,-0.741660002760614,0.0161135917127924,2000000
1,0,-1,6,1.75,"Above the bound",0.5,120,"10y","Nominal",2.501292750098,2.50624738775036,-0.495463765236481,0.0126339764409305,2000000
-1,1,-1,7,0.25,"Near the bound",0.5,120,"10y","Nominal",2.13587329001144,2.14268881360211,-0.681552359067661,0.0144243993072846,2000000
0,1,-1,8,1.5,"Above the bound",0.5,120,"10y","Nominal",2.65172150773774,2.65606566681775,-0.434415908000796,0.0109675635416238,2000000
1,1,-1,9,2.75,"Above the bound",0.5,120,"10y","Nominal",3.20074294319078,3.20347818252217,-0.273523933139064,0.00838914517424325,2000000
-1,-1,0,10,-0.25,"Below the bound",0.5,120,"10y","Nominal",1.11294015169612,1.12594396587923,-1.30038141831053,0.0244713324130958,2000000
0,-1,0,11,1,"Near the bound",0.5,120,"10y","Nominal",1.49936052158742,1.50971759661071,-1.03570750232935,0.0212944693903921,2000000
1,-1,0,12,2.25,"Above the bound",0.5,120,"10y","Nominal",1.96555235099354,1.97319522987824,-0.764287888469672,0.0176137613651292,2000000
-1,0,0,13,0.75,"Near the bound",0.5,120,"10y","Nominal",1.62787650518562,1.63775547754272,-0.987897235709934,0.0196397975097766,2000000
0,0,0,14,2,"Above the bound",0.5,120,"10y","Nominal",2.10174891483875,2.10876598769662,-0.701707285786934,0.0158205752250948,2000000
1,0,0,15,3.25,"Above the bound",0.5,120,"10y","Nominal",2.62282826452268,2.62760531720982,-0.477705268713136,0.0125040007163732,2000000
-1,1,0,16,1.75,"Above the bound",0.5,120,"10y","Nominal",2.2450231575248,2.25139792428085,-0.637476675604898,0.0140859328166589,2000000
0,1,0,17,3,"Above the bound",0.5,120,"10y","Nominal",2.77276395256688,2.77691082062838,-0.4146868061496,0.0108156034765593,2000000
1,1,0,18,4.25,"Above the bound",0.5,120,"10y","Nominal",3.32482871877971,3.32749753327915,-0.266881449943401,0.00833728418239165,2000000
-1,-1,1,19,1.25,"Above the bound",0.5,120,"10y","Nominal",1.19040745510976,1.20294155795986,-1.25341028501069,0.0242666806342494,2000000
0,-1,1,20,2.5,"Above the bound",0.5,120,"10y","Nominal",1.60636348090347,1.61630148335421,-0.993800245074516,0.0210011665919795,2000000
1,-1,1,21,3.75,"Above the bound",0.5,120,"10y","Nominal",2.08442473977221,2.09182141844377,-0.739667867156513,0.0174314238231593,2000000
-1,0,1,22,2.25,"Above the bound",0.5,120,"10y","Nominal",1.73262261712822,1.74204208878592,-0.941947165769896,0.0193137665225335,2000000
0,0,1,23,3.5,"Above the bound",0.5,120,"10y","Nominal",2.22004346883713,2.22679089646595,-0.674742762882907,0.0156141327277063,2000000
1,0,1,24,4.75,"Above the bound",0.5,120,"10y","Nominal",2.74580634836912,2.75046443748667,-0.465808911755028,0.0124105219097748,2000000
