"real_level","target_level","cycle_level","state_id","shadow_rate","region","eta","maturity_months","maturity","security","approximation","monte_carlo","error_bp","mc_se_bp","npaths"
1,-1,0,12,2.25,"Above the bound",-0.5,60,"5y","Real",0.914409878011438,0.916416952095619,-0.200707408418133,0.0474023203375149,200000
-1,0,0,13,0.75,"Near the bound",-0.5,60,"5y","Real",-0.599768117590682,-0.596241079840074,-0.35270377506087,0.0646470384620896,200000
0,0,0,14,2,"Above the bound",-0.5,60,"5y","Real",0.0795263011865929,0.0815436153854002,-0.201731419880723,0.0450997451568466,200000
1,0,0,15,3.25,"Above the bound",-0.5,60,"5y","Real",0.838615137433375,0.839523659417469,-0.0908521984094302,0.0287823030724457,200000
-1,1,0,16,1.75,"Above the bound",-0.5,60,"5y","Real",-0.75314343547339,-0.751113098513547,-0.203033695984323,0.0429646267170804,200000
0,1,0,17,3,"Above the bound",-0.5,60,"5y","Real",0.00857424313931723,0.00945639064812697,-0.0882147508809739,0.0266565863129514,200000
1,1,0,18,4.25,"Above the bound",-0.5,60,"5y","Real",0.808706989422257,0.809001623324199,-0.0294633901941732,0.0157308186254643,200000
-1,-1,1,19,1.25,"Above the bound",-0.5,60,"5y","Real",-0.0348521388418061,-0.0307612568459513,-0.409088199585487,0.0792169175044233,200000
0,-1,1,20,2.5,"Above the bound",-0.5,60,"5y","Real",0.561923722948199,0.564909253442564,-0.298553049436467,0.0635773624810503,200000
1,-1,1,21,3.75,"Above the bound",-0.5,60,"5y","Real",1.2639955453542,1.265770039674,-0.177449431980392,0.0453904787528344,200000
-1,0,1,22,2.25,"Above the bound",-0.5,60,"5y","Real",-0.278535081635567,-0.275482575380669,-0.305250625489817,0.0615141370923874,200000
0,0,1,23,3.5,"Above the bound",-0.5,60,"5y","Real",0.427933836030978,0.429697358852521,-0.176352282154285,0.0428877375993454,200000
1,0,1,24,4.75,"Above the bound",-0.5,60,"5y","Real",1.19643307272292,1.19721971256301,-0.078663984008398,0.027676244753288,200000
-1,1,1,25,3.25,"Above the bound",-0.5,60,"5y","Real",-0.406227803472316,-0.404475546000628,-0.175225747168745,0.0405193345018161,200000
0,1,1,26,4.5,"Above the bound",-0.5,60,"5y","Real",0.36612413273069,0.366879850102655,-0.0755717371965559,0.0254482493437449,200000
1,1,1,27,5.75,"Above the bound",-0.5,60,"5y","Real",1.16939569663605,1.16964661212577,-0.0250915489717896,0.0152191198916935,200000
-1,-1,-1,1,-1.75,"Below the bound",-0.5,120,"10y","Nominal",1.07173713773342,1.08375295185142,-1.20158141179942,0.0765695399824798,200000
