"real_level","target_level","cycle_level","state_id","shadow_rate","region","eta","maturity_months","maturity","security","approximation","monte_carlo","error_bp","mc_se_bp","npaths","wu_xia_yield","wu_xia_error_bp","implementation_difference_bp"
0,-1,1,20,2.5,"Above the bound",0.5,60,"5y","Nominal",1.60009625532292,1.60452806422608,-0.44318089031552,0.020159781048372,2000000,1.60009625532292,-0.44318089031552,0
1,-1,1,21,3.75,"Above the bound",0.5,60,"5y","Nominal",2.30278947549338,2.30554529044057,-0.275581494719157,0.0144493521804286,2000000,2.30278947549338,-0.275581494719157,0
-1,0,1,22,2.25,"Above the bound",0.5,60,"5y","Nominal",1.62110733098509,1.62557344576799,-0.446611478289705,0.0195042169369402,2000000,1.62110733098509,-0.446611478289705,0
0,0,1,23,3.5,"Above the bound",0.5,60,"5y","Nominal",2.32820276860186,2.33089376029733,-0.269099169546738,0.0136531013831876,2000000,2.32820276860186,-0.269099169546738,0
1,0,1,24,4.75,"Above the bound",0.5,60,"5y","Nominal",3.09702824859941,3.09845985962508,-0.143161102567158,0.00885154575561337,2000000,3.09702824859941,-0.143161102567158,0
-1,1,1,25,3.25,"Above the bound",0.5,60,"5y","Nominal",2.35551362180038,2.3581426421986,-0.2629020398218,0.0128984753174921,2000000,2.35551362180038,-0.2629020398218,0
0,1,1,26,4.5,"Above the bound",0.5,60,"5y","Nominal",3.12819166170681,3.12953855499437,-0.134689328755666,0.00814167474671749,2000000,3.12819166170681,-0.134689328755666,0
1,1,1,27,5.75,"Above the bound",0.5,60,"5y","Nominal",3.9316002916374,3.93222824416609,-0.062795252868586,0.00490700929958504,2000000,3.9316002916374,-0.0627952528685416,-4.44089209850063e-14
-1,-1,-1,1,-1.75,"Below the bound",0.5,120,"10y","Nominal",1.07212209657094,1.0851323475841,-1.3010251013162,0.0245566401304345,2000000,1.07212209657094,-1.3010251013162,0
0,-1,-1,2,-0.5,"Below the bound",0.5,120,"10y","Nominal",1.41477182140199,1.42531225739102,-1.05404359890304,0.0216146846072158,2000000,1.41477182140199,-1.05404359890304,0
1,-1,-1,3,0.75,"Near the bound",0.5,120,"10y","Nominal",1.8523310041399,1.86002533027942,-0.769432613952215,0.0178681914214188,2000000,1.8523310041399,-0.769432613952215,0
-1,0,-1,4,-0.75,"Below the bound",0.5,120,"10y","Nominal",1.55021283476681,1.5603319557563,-1.01191209894878,0.0199669488732571,2000000,1.55021283476681,-1.01191209894878,0
0,0,-1,5,0.5,"Near the bound",0.5,120,"10y","Nominal",1.99042729982206,1.99757119368499,-0.714389386292602,0.0161135917127924,2000000,1.99042729982206,-0.714389386292602,0
1,0,-1,6,1.75,"Above the bound",0.5,120,"10y","Nominal",2.50152021216908,2.50624738775036,-0.472717558127878,0.0126339764409305,2000000,2.50152021216908,-0.472717558127878,0
