"date","r_star_ekf","r_star_ukf","pi_star_ekf","pi_star_ukf","m_ekf","m_ukf","shadow_rate_ekf","shadow_rate_ukf"
2001-03-01,2.10709388640869,2.10433657300969,1.84015003724983,1.84106860678168,0.538677104165283,0.54190554617169,4.48592102782381,4.48731072596306
2001-04-01,2.37900563667265,2.37672975219741,1.77712478918345,1.7786723827787,-0.31114030758612,-0.30884211586899,3.84499011826997,3.84656001910712
2001-05-01,2.23074783793243,2.22999632180754,2.25209828992086,2.25288809859929,-0.964758361132189,-0.963176783701139,3.5180877667211,3.51970763670569
2001-06-01,2.35623456780152,2.35500602277241,2.05955563548314,2.06069261595339,-1.06507795675354,-1.06324849970228,3.35071224653112,3.35245013902352
2001-07-01,2.51944576652596,2.5177979450498,1.87415093384574,1.87557641666758,-0.994983723631598,-0.992992493580429,3.3986129767401,3.40038186813695
2001-08-01,2.23844362557315,2.23783060914957,2.20348563513175,2.20429485553223,-1.10901137463861,-1.10740457269498,3.33291788606629,3.33472089198682
2001-09-01,2.54454053023867,2.54479454003043,1.88187846591497,1.88402596486542,-1.77788615987231,-1.77851056468438,2.64853283628133,2.65030994021147
2001-10-01,2.7656554917159,2.76674825718713,1.63774554976769,1.64094338487408,-2.22371283369821,-2.22899434448958,2.17968820778537,2.17869729757163
2001-11-01,2.54801124851949,2.55173591974897,2.02798784840673,2.02977879765538,-2.70821326778453,-2.72380572517473,1.86778582914169,1.85770899222961
2001-12-01,3.13599216615941,3.13669503850741,1.65511043294215,1.65518525485274,-3.31614082363195,-3.33259745965239,1.47496177546961,1.45928283370776
2002-01-01,3.3380984100444,3.33828385829329,1.40178562017787,1.40253489105081,-3.32407605778231,-3.33470190364184,1.41580797243996,1.40611684570225
2002-02-01,2.67674268895924,2.67783423619822,2.01248075998487,2.01309108566193,-3.19638706638193,-3.20908540665863,1.49283638256218,1.48183991520153
2002-03-01,2.87098176760776,2.87089169776901,1.83950780376136,1.83971178549014,-3.26145791084683,-3.27299985519691,1.44903166052229,1.43760362806224
2002-04-01,2.78635972557719,2.78596780694373,1.86792855645748,1.8683663655507,-3.32392620597986,-3.33541835117731,1.3303620760548,1.31891582131712
2002-05-01,2.55914351689085,2.55848953738923,2.198625914976,2.19886532128435,-3.30677150494015,-3.3236212133901,1.4509979269267,1.43373364528348
2002-06-01,2.69307026740996,2.69345101563323,1.8863808824183,1.88803807633735,-3.0850769654448,-3.09128208511243,1.49437418438346,1.49020700685815
2002-07-01,2.85716820422344,2.85826659174303,1.76906523969471,1.77157054937889,-3.00362975504094,-3.01327923009604,1.62260368887722,1.61655791102589
2002-08-01,2.41772779445541,2.42320945233383,2.18163698843765,2.18368517673752,-2.81761365250768,-2.8338648565945,1.78175113038538,1.77302977247684
2002-09-01,2.15651732615648,2.16580942562737,1.98371703413564,1.99059477684051,-2.27554992133682,-2.29849598814946,1.8646844389553,1.85790821431842
2002-10-01,2.30609843284221,2.31538211936419,1.937616535069,1.94418673791779,-2.4242702983416,-2.46396675524709,1.8194446695696,1.79560210203489
2002-11-01,2.25978129862205,2.27073982847158,2.0688378440789,2.07144257377316,-2.9227548861133,-2.98038880357343,1.40586425658765,1.36179359867131
2002-12-01,2.41859148727254,2.42715569140557,1.89724687265608,1.89951911008935,-2.98470171036895,-3.03815671325816,1.33113664955966,1.28851808823675
2003-01-01,2.52271129968052,2.52917276033151,1.86888487536226,1.87000251194979,-3.06428197618807,-3.12545035012259,1.32731419885471,1.27372492215871
2003-02-01,2.20218685810904,2.21016003073147,2.19013075592856,2.19151154303347,-2.99014307318847,-3.04380970364047,1.40217454084913,1.35786187012448
2003-03-01,2.10182608079501,2.11161205295402,2.11593823135559,2.11993267002114,-2.85228687968885,-2.91447845327471,1.36547743246176,1.31706626970046
2003-04-01,2.26916686721327,2.27664685849157,2.03406922884701,2.03624185573732,-2.96300816575424,-3.03145430543239,1.34022793030604,1.28143440879651
2003-05-01,1.80616652546517,1.82262113007084,2.14909210744927,2.1530539855267,-2.5613154695898,-2.64095213954184,1.39394316332464,1.3347229760557
2003-06-01,1.68337612025443,1.70208492177686,1.95271299247279,1.96026141420247,-2.38902634655936,-2.50426563264125,1.24706276616786,1.15808070333808
2003-07-01,2.24964695398054,2.25144054136426,2.02616392415727,2.01796025075968,-3.19307035257188,-3.30378895583486,1.08274052556593,0.965611836289079
2003-08-01,2.50533304817122,2.49570839967924,2.24924359231151,2.2443698689526,-3.72972926716774,-3.81347907019733,1.02484737331499,0.926599198434507
2003-09-01,2.48215630403226,2.48086833356856,2.1696138952229,2.1670301545981,-3.59593379178699,-3.69739978621065,1.05583640746817,0.950498701956006
2003-10-01,2.39858106067328,2.39955762567146,2.19499653055442,2.1921043100749,-3.55454133807171,-3.65018098316313,1.03903625315598,0.941480952583227
2003-11-01,2.16674931233433,2.16817886036457,2.27558447157651,2.27531229349787,-3.45401606393196,-3.50089965060899,0.988317719978878,0.942591503253456
2003-12-01,2.13939328846284,2.13956921874464,2.18729273735381,2.1854676936911,-3.41880002374593,-3.47995771827598,0.907886002070722,0.845079194159764
2004-01-01,2.01490588734795,2.01557167079956,2.19789957413501,2.19640916683547,-3.29157437081519,-3.36313035165267,0.921231090667776,0.848850485982355
2004-02-01,1.72910969516647,1.73849313046601,2.29372476279854,2.28807778424447,-3.16125712671583,-3.41661123981474,0.861577331249171,0.609959674895741
2004-03-01,1.45139412754997,1.45078627219799,2.53632673991351,2.51743006865854,-2.99109187371447,-3.27745181428631,0.996628993749009,0.690764526570224
2004-04-01,1.77741862573247,1.76502168541413,2.45531080400552,2.44707365888228,-3.3477913865068,-3.36011676221318,0.884938043231188,0.851978582083225
2004-05-01,1.8842182515768,1.87369755226115,2.42341337245026,2.42049724619717,-3.48343986068216,-3.48080868410809,0.824191763344902,0.813386114350228
2004-06-01,1.74458787988622,1.74316078367755,2.39870492761571,2.40232268411514,-3.10460045448158,-3.09956667279152,1.03869235302035,1.04591679500117
2004-07-01,1.55304363816198,1.55370163716467,2.34994970430572,2.35290000814524,-2.75661303689632,-2.77375454667968,1.14638030557139,1.13284709863023
2004-08-01,1.4026293116931,1.40453357200946,2.38162286731193,2.38445173067748,-2.39503225866111,-2.41210341998197,1.38921992034393,1.37688188270497
2004-09-01,1.24478600391916,1.24847796323055,2.30364420826879,2.30916990672525,-1.94668259562874,-1.96175622044243,1.6017476165592,1.59589164951337
2004-10-01,1.09513377235203,1.09940959760695,2.38787619756142,2.39315273416497,-1.77840477760244,-1.79881435196963,1.70460519231101,1.69374797980229
2004-11-01,0.913311241918554,0.917247911874894,2.49985388489471,2.50337891079723,-1.43847285886436,-1.4503378943254,1.9746922679489,1.97028892834672
2004-12-01,0.7202539452675,0.72304118714007,2.58508801969699,2.58963298823166,-1.22713446882446,-1.23627593305207,2.07820749614003,2.07639824231966
2005-01-01,0.582485041238441,0.583756754633759,2.46175598232634,2.46639934934436,-0.86458039056907,-0.86887542220005,2.17966063299571,2.18128068177806
2005-02-01,0.436153983309488,0.435248244298857,2.49380081655572,2.49608243701654,-0.535468358289422,-0.537150960049485,2.39448644157578,2.39417972126591
2005-03-01,0.43966193483448,0.438867384014216,2.6443223456815,2.64682527447629,-0.657120325339973,-0.65823927349462,2.42686395517601,2.42745338499589
2005-04-01,0.289525823593497,0.287764156174614,2.62686125349693,2.6288903514074,-0.432914708082168,-0.431308023548475,2.48347236900826,2.48534648403354
2005-05-01,0.164676810264766,0.16222193328026,2.44114808820967,2.44276181951333,-0.0213493475792011,-0.0189012292601493,2.58447555089524,2.58608252353344
2005-06-01,0.0770520951755162,0.0737432675764347,2.26003479230077,2.26233750863788,0.38060034297907,0.384134902737897,2.71768723045536,2.72021567895221
2005-07-01,0.240769677535869,0.236986910084542,2.14031502302098,2.14281436500272,0.547257590720058,0.550944637541093,2.92834229127691,2.93074591262835
2005-08-01,0.233077287978149,0.229492191328542,2.31926634838764,2.32094692778314,0.628880822519142,0.632653084245744,3.18122445888493,3.18309220335743
2005-09-01,0.12384071656402,0.120544083746599,2.44439470331369,2.44600530918508,0.554991361268022,0.558256680867717,3.12322678114573,3.1248060737994
2005-10-01,0.284077876081667,0.280235916757177,2.44959891398671,2.45107157510266,0.654661620251113,0.658488508125568,3.38833841031949,3.3897959999854
2005-11-01,0.414004935683589,0.409971965152659,2.33224599134172,2.33324059752543,0.911396842104321,0.915691609585841,3.65764776912963,3.65890417226392
2005-12-01,0.426481130003118,0.422233640095753,2.10668912887129,2.10796689445853,1.1323740675611,1.13682057580805,3.66554432643551,3.66702111036233
2006-01-01,0.357082988815857,0.352688722071996,2.24938153035096,2.25071092790679,1.43400267611014,1.43856289003597,4.04046719527696,4.04196254001476
2006-02-01,0.454716285472277,0.450486774954634,2.47559806864171,2.47645750938308,1.39315501999979,1.39746295264357,4.32346937411378,4.32440723698128
2006-03-01,0.510685800977661,0.506532175964639,2.4494246749603,2.45044649579114,1.34034280153485,1.34466023597275,4.30045327747281,4.30163890772852
2006-04-01,0.756514704020305,0.75247333303739,2.4520584183198,2.45303839983562,1.16701246390807,1.17109690814152,4.37558558624818,4.37660864101452
2006-05-01,0.878028710552387,0.87434830535014,2.4723868531801,2.47296276441599,1.14996191827119,1.15377685620283,4.50037748200367,4.50108792596896
2006-06-01,0.858466393464362,0.85471145425464,2.37239360581162,2.37307824098218,1.36107026543423,1.36488165946508,4.59193026471021,4.5926713547019
2006-07-01,0.857909552679724,0.853976079171062,2.34000389981958,2.34074159167531,1.57340043567833,1.57738627291115,4.77131388817763,4.77210394375752
2006-08-01,0.729527491562288,0.725502339548699,2.41180526437528,2.41241633878244,1.73231561913762,1.73657129241623,4.87364837507519,4.87448997074736
2006-09-01,0.71772006910025,0.713390246615419,2.19698533856897,2.19791106856525,1.84249130285562,1.84692679812022,4.75719671052483,4.75822811330089
2006-10-01,0.779627240602191,0.775055080337579,2.09253060254512,2.09363277579226,2.00545662036476,2.01017015983496,4.87761446351207,4.8788580159648
2006-11-01,0.630757745803598,0.626228325171217,2.20003607918978,2.20093176378654,2.14125959868792,2.14621637429247,4.9720534236813,4.97337646325022
2006-12-01,0.613540845648894,0.609050153650827,2.18700574048981,2.18810703307907,2.00253803393732,2.00710907654684,4.80308462007602,4.80426626327674
2007-01-01,0.781616603845785,0.776957561413771,2.17084085213471,2.17198304559648,1.92563771462625,1.93041356989261,4.87809517060674,4.87935417690287
2007-02-01,0.864171073755489,0.860003559536418,2.30633675278923,2.30706425770084,1.86710761493054,1.87151738173998,5.03761544147526,5.03858519897723
2007-03-01,0.684173571042001,0.680035678986578,2.39016954893319,2.39116869340562,1.83841560067651,1.84260075494053,4.9127587206517,4.91380512733273
2007-04-01,0.72537984056995,0.721224157481549,2.39720465685736,2.39828476414772,1.69824529281167,1.70234740849875,4.82082979023899,4.82185633012802
2007-05-01,0.765187931254465,0.761057698434814,2.26056737031817,2.26130882796128,1.62341254323512,1.62774224696193,4.64916784480776,4.65010877335803
2007-06-01,1.1032564042387,1.09914659057913,2.08760968518412,2.08865429483135,1.24386490258373,1.24810205297197,4.43473099200655,4.43590293838245
2007-07-01,1.20065723104217,1.19674558467908,2.06939008861839,2.07037815032616,1.46528885353018,1.46935194760872,4.73533617319073,4.73647568261397
2007-08-01,1.11012889558967,1.10650144659481,2.04512264758437,2.04606693270551,1.10972685850003,1.11364188049086,4.26497840167408,4.26621025979118
2007-09-01,1.02447679813521,1.02119926957798,1.98487150955331,1.9864679038951,0.901686426661205,0.904897176754141,3.91103473434973,3.91256435022723
2007-10-01,1.00382353793446,1.00096555148736,2.12369860986251,2.12555158772025,0.777450289129303,0.780103128490655,3.90497243692627,3.90662026769826
2007-11-01,0.785389504537569,0.783661782665288,2.35064236472964,2.35226960678043,0.191667591607952,0.193061335888859,3.32769946087516,3.32899272533458
2007-12-01,0.883478670790252,0.883251759126109,2.31834190179872,2.32181240292777,-0.087720276140893,-0.0891483125761903,3.11410029644808,3.11591584947769
2008-01-01,0.55903472182868,0.56013152764282,2.77019000285637,2.77478262393804,-0.325929436114226,-0.329137029044629,3.00329528857083,3.00577712253623
2008-02-01,0.931569703018559,0.935696853027742,2.74007453357411,2.74133341247218,-1.26776662231139,-1.27764935585498,2.40387761428128,2.39938090964494
