"filter","regime","series","unit","observations","bias","rmse","mae","average_sd","coverage_68","coverage_95","binding_fraction","loglik_per_month","runtime_seconds","iteration_fraction","replication"
"IEKF","binding","pi_gap","percentage points",3,0.712045393592974,0.738763592524035,0.712045393592974,0.986427256501179,1,1,0.00431654676258993,81.4751442023088,0.114000000000001,1,2
"IEKF","binding","u","percentage points",3,-0.184206582233566,1.93739622430029,1.5785169509745,1.41338232399339,0.333333333333333,1,0.00431654676258993,81.4751442023088,0.114000000000001,1,2
"IEKF","binding","w","normalized units",3,0.0442654854540262,0.113667794321045,0.106038218629831,0.178225244670929,0.666666666666667,1,0.00431654676258993,81.4751442023088,0.114000000000001,1,2
"IEKF","binding","shadow_rate","percentage points",3,-0.0737854032143707,0.0783990710567225,0.0737854032143707,0.149143764848736,1,1,0.00431654676258993,81.4751442023088,0.114000000000001,1,2
"IEKF","nonbinding","r_star","percentage points",692,0.0282089893675689,0.14157199143594,0.101301497491146,0.139585703395127,0.702312138728324,0.969653179190751,0.00431654676258993,81.4751442023088,0.114000000000001,1,2
"IEKF","nonbinding","pi_star","percentage points",692,-0.0360588625469908,0.175536900417115,0.120728564296805,0.154325056543657,0.689306358381503,0.959537572254335,0.00431654676258993,81.4751442023088,0.114000000000001,1,2
"IEKF","nonbinding","m","percentage points",692,0.00561711089346102,0.0938234336924722,0.0742123075755257,0.0928366128384918,0.670520231213873,0.96242774566474,0.00431654676258993,81.4751442023088,0.114000000000001,1,2
"IEKF","nonbinding","pi_gap","percentage points",692,-0.00914421425742249,0.939645812139427,0.758257575517948,0.969288920470292,0.670520231213873,0.958092485549133,0.00431654676258993,81.4751442023088,0.114000000000001,1,2
"IEKF","nonbinding","u","percentage points",692,-0.0233992578964234,1.49486656786795,1.203611629281,1.4140689389605,0.667630057803468,0.94364161849711,0.00431654676258993,81.4751442023088,0.114000000000001,1,2
"IEKF","nonbinding","w","normalized units",692,-0.00577254548307569,0.147833191513279,0.117879412988353,0.149232393285289,0.679190751445087,0.952312138728324,0.00431654676258993,81.4751442023088,0.114000000000001,1,2
"IEKF","nonbinding","shadow_rate","percentage points",692,-0.00223276228596101,0.0841468223779918,0.0670377532032354,0.0866074117945715,0.702312138728324,0.960982658959538,0.00431654676258993,81.4751442023088,0.114000000000001,1,2
"UKF","all","r_star","percentage points",695,0.0283083364267834,0.142583736318495,0.101758497458937,0.1397624914171,0.703597122302158,0.968345323741007,0.00431654676258993,81.4689089121492,0.482000000000001,0,2
"UKF","all","pi_star","percentage points",695,-0.0378366519800342,0.175471547490033,0.121278569402852,0.154367415728541,0.687769784172662,0.959712230215827,0.00431654676258993,81.4689089121492,0.482000000000001,0,2
"UKF","all","m","percentage points",695,0.00485388544486962,0.0942880294255117,0.0748824108329559,0.0964300244184502,0.676258992805755,0.962589928057554,0.00431654676258993,81.4689089121492,0.482000000000001,0,2
"UKF","all","pi_gap","percentage points",695,-0.00498895420396254,0.93882834983301,0.758184031820447,0.969467271632116,0.673381294964029,0.958273381294964,0.00431654676258993,81.4689089121492,0.482000000000001,0,2
"UKF","all","u","percentage points",695,-0.0237383543400316,1.49681171829263,1.20500080563503,1.41408687250622,0.667625899280576,0.943884892086331,0.00431654676258993,81.4689089121492,0.482000000000001,0,2
"UKF","all","w","normalized units",695,-0.00421452551832541,0.14895721496916,0.119029502167296,0.15107002917064,0.673381294964029,0.952517985611511,0.00431654676258993,81.4689089121492,0.482000000000001,0,2
"UKF","all","shadow_rate","percentage points",695,-0.00467443010838098,0.0869278983559514,0.0688273754277161,0.0917516597867485,0.702158273381295,0.959712230215827,0.00431654676258993,81.4689089121492,0.482000000000001,0,2
"UKF","binding","r_star","percentage points",3,-0.0556233002160171,0.158102915868844,0.116995887295165,0.11598265507647,0.666666666666667,0.666666666666667,0.00431654676258993,81.4689089121492,0.482000000000001,0,2
"UKF","binding","pi_star","percentage points",3,0.0118002316592647,0.104723633418909,0.0941698855572506,0.114897498919106,0.666666666666667,1,0.00431654676258993,81.4689089121492,0.482000000000001,0,2
"UKF","binding","m","percentage points",3,-0.0385534611496818,0.187187765122625,0.184889287545556,0.158806798423415,0.666666666666667,0.666666666666667,0.00431654676258993,81.4689089121492,0.482000000000001,0,2
"UKF","binding","pi_gap","percentage points",3,0.739379652501903,0.762458303739301,0.739379652501903,0.985758453149049,1,1,0.00431654676258993,81.4689089121492,0.482000000000001,0,2
"UKF","binding","u","percentage points",3,-0.196387140373364,1.94428632142568,1.58112883199238,1.41337354569721,0.333333333333333,1,0.00431654676258993,81.4689089121492,0.482000000000001,0,2
"UKF","binding","w","normalized units",3,0.0429376970670768,0.151302801651793,0.12241950103523,0.186453753633345,0.666666666666667,1,0.00431654676258993,81.4689089121492,0.482000000000001,0,2
"UKF","binding","shadow_rate","percentage points",3,-0.0823765297064346,0.194442786718581,0.190088482993693,0.182845533767725,0.333333333333333,1,0.00431654676258993,81.4689089121492,0.482000000000001,0,2
"UKF","nonbinding","r_star","percentage points",692,0.0286722019035586,0.142512777535079,0.101692439410514,0.139865583193143,0.703757225433526,0.969653179190751,0.00431654676258993,81.4689089121492,0.482000000000001,0,2
"UKF","nonbinding","pi_star","percentage points",692,-0.0380518407819386,0.175716256542872,0.121396092598714,0.154538528084652,0.687861271676301,0.959537572254335,0.00431654676258993,81.4689089121492,0.482000000000001,0,2
"UKF","nonbinding","m","percentage points",692,0.00504206758328531,0.0936849489485039,0.0744055024079013,0.0961596048779663,0.676300578034682,0.963872832369942,0.00431654676258993,81.4689089121492,0.482000000000001,0,2
"UKF","nonbinding","pi_gap","percentage points",692,-0.00821598573592434,0.939520883899504,0.758265553696105,0.969396645122649,0.671965317919075,0.958092485549133,0.00431654676258993,81.4689089121492,0.482000000000001,0,2
"UKF","nonbinding","u","percentage points",692,-0.0229898769439334,1.49458016487549,1.203370192804,1.41408996496348,0.66907514450867,0.94364161849711,0.00431654676258993,81.4689089121492,0.482000000000001,0,2
"UKF","nonbinding","w","normalized units",692,-0.00441894266826213,0.148946965826137,0.119014805640412,0.150916631521235,0.673410404624277,0.952312138728324,0.00431654676258993,81.4689089121492,0.482000000000001,0,2
"UKF","nonbinding","shadow_rate","percentage points",692,-0.00433757129509463,0.0861702456033821,0.068301676984511,0.0913567441481026,0.703757225433526,0.959537572254335,0.00431654676258993,81.4689089121492,0.482000000000001,0,2
"EKF","all","r_star","percentage points",695,-0.0013557193443023,0.173673538614735,0.131371458953332,0.152430177625628,0.634532374100719,0.929496402877698,0.231654676258993,82.0675122288967,0.0620000000000012,0,3
"EKF","all","pi_star","percentage points",695,0.0216645625167672,0.182114595548819,0.125391477179671,0.155507985497334,0.651798561151079,0.936690647482014,0.231654676258993,82.0675122288967,0.0620000000000012,0,3
"EKF","all","m","percentage points",695,0.090761671167722,0.329282759114447,0.1788332294273,0.145019985009805,0.58705035971223,0.857553956834532,0.231654676258993,82.0675122288967,0.0620000000000012,0,3
"EKF","all","pi_gap","percentage points",695,-0.1334198113337,1.04640146138113,0.850947924971038,0.973540445003523,0.611510791366906,0.939568345323741,0.231654676258993,82.0675122288967,0.0620000000000012,0,3
"EKF","all","u","percentage points",695,-0.00656825015945009,1.3766581168842,1.10856438996896,1.41449194897232,0.693525179856115,0.955395683453237,0.231654676258993,82.0675122288967,0.0620000000000012,0,3
"EKF","all","w","normalized units",695,-0.0345642750663419,0.270899013766768,0.187106342050594,0.194140135557845,0.597122302158273,0.907913669064748,0.231654676258993,82.0675122288967,0.0620000000000012,0,3
"EKF","all","shadow_rate","percentage points",695,0.111070514340187,0.374882851186248,0.186809447049572,0.143313456513977,0.597122302158273,0.864748201438849,0.231654676258993,82.0675122288967,0.0620000000000012,0,3
"EKF","binding","r_star","percentage points",161,0.0454917638335127,0.18340557754206,0.142375069041014,0.149981998865155,0.62111801242236,0.894409937888199,0.231654676258993,82.0675122288967,0.0620000000000012,0,3
"EKF","binding","pi_star","percentage points",161,0.0228378246776038,0.155136660924917,0.116100599613019,0.140299082186332,0.62111801242236,0.937888198757764,0.231654676258993,82.0675122288967,0.0620000000000012,0,3
"EKF","binding","m","percentage points",161,0.345645921148446,0.622358486114043,0.447372620730119,0.272131184255071,0.372670807453416,0.670807453416149,0.231654676258993,82.0675122288967,0.0620000000000012,0,3
"EKF","binding","pi_gap","percentage points",161,-0.140527305276399,1.05587741378947,0.844730427349368,0.98531930723461,0.608695652173913,0.937888198757764,0.231654676258993,82.0675122288967,0.0620000000000012,0,3
"EKF","binding","u","percentage points",161,-0.102725127310755,1.29602009800384,1.06305678835009,1.41428772930744,0.720496894409938,0.962732919254658,0.231654676258993,82.0675122288967,0.0620000000000012,0,3
"EKF","binding","w","normalized units",161,-0.201589865908339,0.448803800755548,0.326278603855957,0.289195148725177,0.540372670807453,0.788819875776398,0.231654676258993,82.0675122288967,0.0620000000000012,0,3
"EKF","binding","shadow_rate","percentage points",161,0.413975509659562,0.725760077229343,0.523392951243299,0.314417381256746,0.366459627329193,0.633540372670807,0.231654676258993,82.0675122288967,0.0620000000000012,0,3
"EKF","nonbinding","r_star","percentage points",534,-0.0154801477930443,0.170630476478549,0.128053891117907,0.153168298937306,0.638576779026217,0.940074906367041,0.231654676258993,82.0675122288967,0.0620000000000012,0,3
